category,text
navigate_to_login,"How do I get to the login page from here?"
navigate_to_login,"Where do I go if I already have an account?"
login_help,"How do I sign in?"
login_help,"What's the process for logging in?"
login_help,"I need to log into my account."
login_help,"How do I access my profile?"
login_help,"Explain the login screen."
login_failure_help,"I can't log in."
login_failure_help,"It says 'Could not sign in with those credentials'."
login_failure_help,"My email or password is not working."
login_failure_help,"Why is my login failing?"
login_failure_help,"Invalid credentials error."
login_failure_help,"I'm getting a login error."
login_password_help,"I forgot my password."
login_password_help,"How do I reset my password?"
login_password_help,"Is there a forgot password link?"
login_password_help,"I can't remember my password, what do I do?"
login_password_help,"Lost my password."
navigate_to_register,"I don't have an account yet."
navigate_to_register,"How do I create an account from the login page?"
navigate_to_register,"Where is the sign-up page?"
navigate_to_register,"I need to register first."
home_screen_logout,"How do I log out?"
home_screen_logout,"Where is the sign out button?"
home_screen_logout,"What happens if I press the logout icon?"
home_screen_logout,"How do I end my session?"
home_screen_logout,"Where can I find the logout option?"
home_screen_search,"How does the search bar work?"
home_screen_search,"Can I search for a specific expense?"
home_screen_search,"What can I type in the search box?"
home_screen_search,"Explain the search feature on the home page."
home_screen_actions,"What do the buttons on the home screen do?"
home_screen_actions,"Explain the main action buttons."
home_screen_actions,"What are the grid buttons for?"
scan_receipt_help,"Tell me about the 'Scan Receipt' feature."
scan_receipt_help,"How do I scan a receipt with my camera?"
scan_receipt_help,"What does the receipt icon do?"
parse_pdf_help,"How do I use the 'Parse PDF' button?"
parse_pdf_help,"Can the app read expenses from a PDF file?"
parse_pdf_help,"What does the PDF button do?"
voice_entry_help,"How do I add an expense using my voice?"
voice_entry_help,"What is 'Voice to Text' for?"
voice_entry_help,"How do I use the microphone button?"
text_entry_help,"Which button is for text entry?"
text_entry_help,"How to add an expense manually from home?"
text_entry_help,"Where is the button to type in my expense?"
reports_help,"How do I see reports?"
reports_help,"Tell me about the different reports available."
reports_help,"How to generate a monthly or yearly report?"
reports_help,"Explain the reports section."
profile_settings_help,"Where do I find my profile and settings?"
profile_settings_help,"How can I manage my personal information?"
profile_settings_help,"Where are the app settings?"
navigation_main,"How do I get around the app?"
navigation_main,"What do the buttons at the bottom do?"
navigation_main,"Explain the navigation bar."
navigation_main,"How to switch between sections?"
navigation_home,"How do I get to the home screen?"
navigation_home,"Where is the main menu?"
navigation_home,"What does the house icon do?"
navigation_expenses,"How do I view my expense list?"
navigation_expenses,"Where do I find my transaction history?"
navigation_expenses,"Which button is for viewing all expenses?"
navigation_reports,"Where can I see my charts?"
navigation_reports,"How to get to the reports page?"
navigation_reports,"Which icon is for reports?"
navigation_profile,"How do I get to my profile screen?"
navigation_profile,"Where are the account settings located?"
navigation_profile,"What does the person icon at the bottom do?"
