text,category
spent 3560 on phone recharge,Utilities
house rent 14433,Utilities
purchase of phone recharge - 3507,Utilities
paid 10118 for metro card recharge,Transport
laundry service 280 rupees,Other
monthly phone recharge payment of 9050,Utilities
purchase of doctor's visit fee - 1274,Health
birthday gift cost 804,Gifts & Donations
bought metro card recharge for 6793 inr,Transport
purchase of wedding present - 497,Gifts & Donations
spent 4411 on internet bill,Utilities
soap cost 775,Personal Care
purchase of coffee - 159,Food
bought wedding present for 924,Gifts & Donations
pastries cost 873,Food
paid 670 rupees for gym membership,Personal Care
purchase of wedding present - 952,Gifts & Donations
"paid for gift, amount was 851",Shopping
paid 801 inr for home repair,Other
bought software license for 174 rupees,Other
bought salon visit for 925 rupees,Personal Care
recharged my gas cylinder with 12035,Utilities
salon visit 162 rupees,Personal Care
monthly exam fee payment of 8775,Education
"paid for band-aids, amount was 1797",Health
monthly udemy course payment of 9013,Education
bought contribution to fundraiser for 537,Gifts & Donations
bought doctor's visit fee for 1611,Health
paid 12875 for gift,Shopping
concert tickets cost 591,Entertainment
wedding present cost 607,Gifts & Donations
home decor cost 1397,Shopping
purchase of groceries - 999,Food
recharged my dinner with friends with 626,Food
spent 10613 on subscription service,Utilities
recharged my donation to charity with 876,Gifts & Donations
just got sunglasses for 1251 inr,Shopping
purchase of restaurant meal - 440,Food
monthly groceries payment of 181,Food
"paid for concert tickets, amount was 720",Entertainment
home decor cost 14750,Shopping
pet food cost 739,Other
monthly software license payment of 161,Other
spent 4869 on health insurance premium,Health
bought Netflix subscription for 782 rs,Entertainment
purchase of auto rickshaw fare - 1579,Transport
just got haircut for 585 inr,Personal Care
groceries cost 791,Food
"paid for medicines, amount was 3591",Health
spent 7105 on metro card recharge,Transport
recharged my gym membership with 529,Personal Care
paid 8160 for internet bill,Utilities
monthly fuel for car payment of 10913,Transport
flight ticket 1579,Transport
dinner with friends cost 683,Food
just got donation to charity for 143 rs,Gifts & Donations
paid 439 inr for vegetables,Food
spent 5878 on exam fee,Education
monthly dinner with friends payment of 261,Food
spent 223 on cosmetics,Personal Care
recharged my birthday gift with 867,Gifts & Donations
"paid for stationery, amount was 14457",Education
monthly train ticket payment of 5154,Transport
purchase of doctor's visit fee - 2112,Health
just got auto rickshaw fare for 9752 inr,Transport
just got lab test for 3085 rupees,Health
"paid for auto rickshaw fare, amount was 14850",Transport
"paid for birthday gift, amount was 736",Gifts & Donations
exam fee 13156,Education
paid 12876 rs for textbooks,Education
"paid for shampoo, amount was 934",Personal Care
soap 126 inr,Personal Care
recharged my fruits with 931,Food
recharged my protein powder with 716,Personal Care
bought new shirt for 13174 inr,Shopping
recharged my sports match ticket with 552,Entertainment
purchase of gift for anniversary - 635,Gifts & Donations
purchase of gift - 7040,Shopping
paid 3862 rs for band-aids,Health
maintenance fee 6300 inr,Utilities
paid 593 rs for donation to charity,Gifts & Donations
paid 1933 rs for textbooks,Education
medicines 721,Health
recharged my medicines with 1544,Health
recharged my software license with 230,Other
recharged my takeout food with 436,Food
spent 1714 on stationery,Education
bought gift for anniversary for 696 rupees,Gifts & Donations
just got bowling with friends for 636 rs,Entertainment
paid 2872 rupees for house rent,Utilities
just got gift for 6191,Shopping
just got doctor's visit fee for 2055 inr,Health
just got hospital bill for 1142 inr,Health
monthly taxi fare payment of 4727,Transport
exam fee 8177 inr,Education
purchase of book - 2354,Shopping
recharged my haircut with 57,Personal Care
paid 460 for protein powder,Personal Care
protein powder cost 762,Personal Care
recharged my birthday gift with 505,Gifts & Donations
bought exam fee for 4941 rs,Education
spent 610 on restaurant meal,Food
purchase of dinner with friends - 376,Food
just got laptop for 13401 rupees,Shopping
recharged my textbooks with 3070,Education
recharged my lab test with 3311,Health
monthly restaurant meal payment of 226,Food
recharged my car service with 1166,Transport
recharged my band-aids with 311,Health
paid 260 rs for haircut,Personal Care
bought soap for 285 rupees,Personal Care
monthly bowling with friends payment of 981,Entertainment
recharged my metro card recharge with 5878,Transport
flight ticket 367 rs,Transport
"paid for medicines, amount was 934",Health
just got gym membership for 216,Personal Care
spent 957 on salon visit,Personal Care
purchase of movie tickets - 591,Entertainment
exam fee 11616,Education
health insurance premium 3199 rupees,Health
paid 761 rs for Netflix subscription,Entertainment
spent 611 on birthday gift,Gifts & Donations
spent 8513 on pen and notebooks,Education
paid 346 for sports match ticket,Entertainment
purchase of cosmetics - 293,Personal Care
purchase of haircut - 849,Personal Care
spent 195 on lunch,Food
spent 160 on coffee,Food
"paid for electricity bill, amount was 10686",Utilities
running shoes cost 10514,Shopping
hospital bill cost 1600,Health
purchase of fruits - 844,Food
purchase of mobile phone - 11765,Shopping
just got wedding present for 558 inr,Gifts & Donations
just got maintenance fee for 5024,Utilities
just got exam fee for 6625 rupees,Education
dental checkup cost 1508,Health
spent 699 on gym membership,Personal Care
concert tickets 741,Entertainment
monthly car service payment of 14974,Transport
spent 3625 on car service,Transport
paid 8352 for water bill,Utilities
recharged my exam fee with 14899,Education
spent 654 on wedding present,Gifts & Donations
purchase of gift for anniversary - 806,Gifts & Donations
monthly house rent payment of 5790,Utilities
online course fee 4153 inr,Education
auto rickshaw fare 9916 rupees,Transport
salon visit cost 101,Personal Care
recharged my electricity bill with 13742,Utilities
sunglasses cost 4051,Shopping
bought takeout food for 640 rupees,Food
spent 876 on ice cream,Food
spent 721 on haircut,Personal Care
"paid for gift for anniversary, amount was 178",Gifts & Donations
monthly wedding present payment of 336,Gifts & Donations
bought vitamins for 2149 inr,Health
donation to charity 191,Gifts & Donations
spent 418 on bowling with friends,Entertainment
bought contribution to fundraiser for 719,Gifts & Donations
"paid for groceries, amount was 381",Food
just got breakfast for 349 rs,Food
Netflix subscription cost 392,Entertainment
spent 2729 on vitamins,Health
bought movie tickets for 448 rupees,Entertainment
gift cost 1081,Shopping
phone recharge cost 8920,Utilities
recharged my breakfast with 837,Food
recharged my taxi fare with 7497,Transport
"paid for parking fee, amount was 12950",Transport
monthly bank fee payment of 183,Other
bought medicines for 243 rs,Health
just got home decor for 8732 rupees,Shopping
bought water bill for 7986 inr,Utilities
parking fee 13950 inr,Transport
"paid for fruits, amount was 156",Food
"paid for furniture, amount was 9866",Shopping
just got flight ticket for 9841 rupees,Transport
home repair cost 454,Other
"paid for taxi fare, amount was 7790",Transport
spent 886 on software license,Other
pet food 292 rupees,Other
monthly sunglasses payment of 5245,Shopping
donation to charity 587,Gifts & Donations
spent 14323 on bus ticket,Transport
spent 748 on birthday gift,Gifts & Donations
paid 926 rs for vegetables,Food
paid 10132 rs for furniture,Shopping
paid 66 rs for soap,Personal Care
paid 3415 rupees for watch,Shopping
purchase of car service - 2564,Transport
recharged my phone recharge with 7133,Utilities
paid 5054 for train ticket,Transport
purchase of metro card recharge - 9709,Transport
spent 9809 on subscription service,Utilities
paid 14117 for maintenance fee,Utilities
just got courier charges for 422,Other
bought hospital bill for 2745 rupees,Health
recharged my stationery with 11491,Education
just got soap for 261 rs,Personal Care
purchase of wedding present - 231,Gifts & Donations
contribution to fundraiser cost 887,Gifts & Donations
monthly cosmetics payment of 963,Personal Care
bought amusement park entry for 122 rs,Entertainment
"paid for vegetables, amount was 839",Food
"paid for auto rickshaw fare, amount was 10200",Transport
purchase of bus ticket - 1656,Transport
metro card recharge 12478 inr,Transport
purchase of book - 14812,Shopping
magazine subscription 842 rupees,Other
recharged my pet food with 669,Other
just got postage stamp for 328 inr,Other
bought mobile phone for 4951 inr,Shopping
recharged my software license with 428,Other
monthly restaurant meal payment of 862,Food
bought train ticket for 14158 inr,Transport
just got breakfast for 649 inr,Food
bought birthday gift for 481 inr,Gifts & Donations
paid 302 rupees for salon visit,Personal Care
monthly online course fee payment of 3002,Education
maintenance fee cost 8751,Utilities
electricity bill 14945 inr,Utilities
"paid for band-aids, amount was 4933",Health
purchase of home decor - 9275,Shopping
just got home repair for 622 rs,Other
"paid for online course fee, amount was 8258",Education
software license 426 inr,Other
spent 2309 on lab test,Health
purchase of pastries - 860,Food
purchase of contribution to fundraiser - 405,Gifts & Donations
"paid for pizza, amount was 590",Food
just got shampoo for 864 rs,Personal Care
just got online course fee for 9287 rs,Education
spent 342 on bank fee,Other
recharged my new shirt with 4420,Shopping
soap 73 rs,Personal Care
"paid for exam fee, amount was 2236",Education
"paid for gas cylinder, amount was 4647",Utilities
monthly donation to charity payment of 875,Gifts & Donations
recharged my pastries with 784,Food
spent 953 on haircut,Personal Care
parking fee 10794 rupees,Transport
"paid for stationery, amount was 11710",Education
coursera specialization 2334 rupees,Education
monthly electricity bill payment of 632,Utilities
ice cream cost 503,Food
"paid for online course fee, amount was 4240",Education
purchase of donation to charity - 621,Gifts & Donations
hospital bill cost 4900,Health
just got online course fee for 6105 rs,Education
band-aids 4726 rs,Health
spent 810 on band-aids,Health
paid 7444 for laptop,Shopping
pen and notebooks 12931,Education
recharged my protein powder with 557,Personal Care
just got haircut for 702 rupees,Personal Care
just got restaurant meal for 761,Food
just got courier charges for 372 rupees,Other
spent 4083 on metro card recharge,Transport
paid 448 rupees for restaurant meal,Food
monthly postage stamp payment of 318,Other
bought contribution to fundraiser for 824 rupees,Gifts & Donations
pet food 597 inr,Other
purchase of donation to charity - 622,Gifts & Donations
bought snacks for 499,Food
"paid for coursera specialization, amount was 5850",Education
maintenance fee 9572,Utilities
bought gas cylinder for 9722,Utilities
spent 4750 on pen and notebooks,Education
spent 9968 on car service,Transport
paid 3120 for internet bill,Utilities
phone recharge 6103,Utilities
paid 4300 inr for hospital bill,Health
"paid for fuel for car, amount was 8298",Transport
"paid for takeout food, amount was 795",Food
sports match ticket cost 751,Entertainment
spent 755 on amusement park entry,Entertainment
purchase of pastries - 230,Food
"paid for gas cylinder, amount was 13627",Utilities
monthly subscription service payment of 12627,Utilities
spent 65 on bowling with friends,Entertainment
purchase of wedding present - 752,Gifts & Donations
recharged my uber ride with 5686,Transport
bought doctor's visit fee for 849 rupees,Health
bought subscription service for 3638 rupees,Utilities
movie tickets cost 425,Entertainment
paid 1363 for doctor's visit fee,Health
purchase of amusement park entry - 772,Entertainment
spent 711 on contribution to fundraiser,Gifts & Donations
purchase of taxi fare - 12886,Transport
just got gas cylinder for 8740,Utilities
purchase of cosmetics - 187,Personal Care
bought contribution to fundraiser for 118,Gifts & Donations
phone recharge 14768 inr,Utilities
purchase of mobile phone - 13740,Shopping
"paid for wedding present, amount was 828",Gifts & Donations
paid 318 for pet food,Other
spent 216 on ice cream,Food
donation to charity cost 862,Gifts & Donations
laundry service cost 510,Other
paid 3113 inr for uber ride,Transport
phone recharge 4077,Utilities
spent 12268 on car service,Transport
monthly dental checkup payment of 3068,Health
monthly takeout food payment of 551,Food
just got home repair for 437 rupees,Other
online course fee 12851 rs,Education
paid 733 for Netflix subscription,Entertainment
amusement park entry cost 346,Entertainment
"paid for train ticket, amount was 13759",Transport
bought video game for 203 inr,Entertainment
cosmetics 658 rs,Personal Care
recharged my pizza with 505,Food
just got lab test for 1166,Health
doctor's visit fee cost 4140,Health
monthly band-aids payment of 3945,Health
spent 1250 on bus ticket,Transport
vitamins cost 4546,Health
new shirt 3420 inr,Shopping
paid 877 inr for pizza,Food
recharged my contribution to fundraiser with 879,Gifts & Donations
purchase of coffee - 233,Food
paid 3868 inr for band-aids,Health
fruits cost 735,Food
recharged my water bill with 13148,Utilities
spent 3829 on new shirt,Shopping
pen and notebooks cost 10864,Education
spent 12457 on flight ticket,Transport
"paid for parking fee, amount was 11380",Transport
paid 363 inr for dinner with friends,Food
monthly running shoes payment of 2370,Shopping
fruits 448,Food
watch 12956 rupees,Shopping
flight ticket cost 13025,Transport
recharged my bank fee with 432,Other
monthly band-aids payment of 207,Health
monthly sports match ticket payment of 671,Entertainment
cosmetics cost 880,Personal Care
purchase of electricity bill - 8780,Utilities
recharged my vitamins with 4145,Health
recharged my exam fee with 4137,Education
"paid for metro card recharge, amount was 12787",Transport
vitamins 3267,Health
bought video game for 555,Entertainment
"paid for fruits, amount was 203",Food
paid 618 rupees for gym membership,Personal Care
bank fee 121 rupees,Other
"paid for salon visit, amount was 471",Personal Care
"paid for birthday gift, amount was 800",Gifts & Donations
vegetables 122 inr,Food
paid 4664 rs for headphones,Shopping
purchase of lunch - 681,Food
just got postage stamp for 257 rs,Other
"paid for wedding present, amount was 915",Gifts & Donations
"paid for soap, amount was 448",Personal Care
gas cylinder 1143 rs,Utilities
purchase of textbooks - 7647,Education
monthly pet food payment of 705,Other
monthly video game payment of 113,Entertainment
just got protein powder for 955 rs,Personal Care
bought snacks for 449,Food
bought metro card recharge for 13301 inr,Transport
monthly stationery payment of 3101,Education
paid 122 inr for video game,Entertainment
recharged my skincare products with 14978,Shopping
recharged my gym membership with 375,Personal Care
just got textbooks for 8304 rs,Education
purchase of Netflix subscription - 345,Entertainment
electricity bill cost 11251,Utilities
monthly magazine subscription payment of 368,Other
recharged my soap with 893,Personal Care
purchase of gift - 5385,Shopping
monthly donation to charity payment of 523,Gifts & Donations
monthly band-aids payment of 3965,Health
purchase of cosmetics - 119,Personal Care
just got coursera specialization for 9305 inr,Education
online course fee 10006 inr,Education
bought lunch for 676 rs,Food
monthly soap payment of 703,Personal Care
purchase of water bill - 14472,Utilities
paid 9586 inr for maintenance fee,Utilities
paid 9014 inr for skincare products,Shopping
recharged my house rent with 6136,Utilities
just got wedding present for 877 rs,Gifts & Donations
monthly metro card recharge payment of 7011,Transport
spent 11023 on car service,Transport
just got Spotify premium for 695,Entertainment
just got concert tickets for 982 rupees,Entertainment
pen and notebooks 14374 inr,Education
just got stationery for 9666 inr,Education
bought health insurance premium for 3929 rs,Health
exam fee 13018 inr,Education
just got coffee for 307 rupees,Food
recharged my amusement park entry with 789,Entertainment
takeout food cost 568,Food
protein powder 719 rupees,Personal Care
spent 2232 on textbooks,Education
purchase of breakfast - 568,Food
"paid for hospital bill, amount was 522",Health
just got laundry service for 532,Other
"paid for medicines, amount was 3819",Health
salon visit 298,Personal Care
"paid for dental checkup, amount was 1938",Health
magazine subscription 355 inr,Other
monthly dinner with friends payment of 360,Food
paid 810 for dental checkup,Health
bought udemy course for 5345 rs,Education
recharged my contribution to fundraiser with 75,Gifts & Donations
recharged my house rent with 14110,Utilities
paid 610 for magazine subscription,Other
paid 3905 for car service,Transport
paid 405 rupees for soap,Personal Care
vegetables 838 rupees,Food
just got furniture for 8823 inr,Shopping
udemy course cost 13609,Education
monthly gift for anniversary payment of 811,Gifts & Donations
"paid for salon visit, amount was 249",Personal Care
spent 8016 on train ticket,Transport
recharged my mobile phone with 6221,Shopping
wedding present cost 823,Gifts & Donations
"paid for video game, amount was 136",Entertainment
lunch 278,Food
purchase of Spotify premium - 828,Entertainment
spent 7326 on online course fee,Education
just got train ticket for 4980,Transport
bought Netflix subscription for 807 rs,Entertainment
purchase of vitamins - 3531,Health
Netflix subscription 730 rs,Entertainment
recharged my gift with 11032,Shopping
spent 311 on vegetables,Food
just got pastries for 360 rs,Food
purchase of restaurant meal - 479,Food
recharged my fruits with 945,Food
monthly movie tickets payment of 239,Entertainment
dental checkup cost 2080,Health
purchase of snacks - 722,Food
paid 623 rs for Spotify premium,Entertainment
paid 135 for sports match ticket,Entertainment
paid 363 for haircut,Personal Care
monthly soap payment of 430,Personal Care
just got bank fee for 509 inr,Other
metro card recharge cost 9341,Transport
"paid for bus ticket, amount was 2567",Transport
purchase of udemy course - 4183,Education
"paid for laptop, amount was 9490",Shopping
spent 7082 on subscription service,Utilities
spent 558 on Spotify premium,Entertainment
recharged my stationery with 14374,Education
spent 2521 on hospital bill,Health
"paid for groceries, amount was 449",Food
spent 6508 on train ticket,Transport
gift for anniversary 124 rupees,Gifts & Donations
purchase of birthday gift - 496,Gifts & Donations
recharged my textbooks with 9918,Education
spent 2296 on fuel for car,Transport
new shirt cost 1540,Shopping
recharged my sunglasses with 9385,Shopping
purchase of haircut - 248,Personal Care
"paid for software license, amount was 588",Other
pet food cost 826,Other
bought donation to charity for 111,Gifts & Donations
paid 7496 inr for flight ticket,Transport
monthly textbooks payment of 13405,Education
just got video game for 849 rupees,Entertainment
paid 10884 rs for car service,Transport
spent 796 on fruits,Food
purchase of pen and notebooks - 4064,Education
monthly sports match ticket payment of 345,Entertainment
paid 154 rupees for bowling with friends,Entertainment
Netflix subscription 916,Entertainment
recharged my water bill with 11315,Utilities
bought stationery for 13758 inr,Education
recharged my salon visit with 671,Personal Care
paid 5508 inr for uber ride,Transport
spent 6105 on udemy course,Education
"paid for lunch, amount was 912",Food
recharged my hospital bill with 1821,Health
wedding present cost 902,Gifts & Donations
pen and notebooks 14367,Education
vitamins cost 3236,Health
spent 1803 on stationery,Education
recharged my cosmetics with 385,Personal Care
spent 4688 on gift,Shopping
just got parking fee for 9062 inr,Transport
groceries 616,Food
bought Spotify premium for 403 rupees,Entertainment
bought mobile phone for 7467 inr,Shopping
recharged my wedding present with 322,Gifts & Donations
"paid for shampoo, amount was 721",Personal Care
"paid for running shoes, amount was 11948",Shopping
monthly furniture payment of 12709,Shopping
home decor 14350 rs,Shopping
paid 400 for magazine subscription,Other
recharged my maintenance fee with 9337,Utilities
recharged my salon visit with 613,Personal Care
recharged my postage stamp with 106,Other
purchase of gift for anniversary - 376,Gifts & Donations
bought bowling with friends for 752 inr,Entertainment
monthly sports match ticket payment of 647,Entertainment
haircut cost 957,Personal Care
monthly Netflix subscription payment of 555,Entertainment
monthly birthday gift payment of 467,Gifts & Donations
groceries cost 820,Food
metro card recharge 1971 inr,Transport
health insurance premium 3717 inr,Health
just got gift for anniversary for 651 rupees,Gifts & Donations
bought laptop for 7412,Shopping
internet bill cost 6273,Utilities
spent 758 on pastries,Food
paid 744 for gift for anniversary,Gifts & Donations
spent 812 on contribution to fundraiser,Gifts & Donations
monthly subscription service payment of 2916,Utilities
just got laptop for 8785 rupees,Shopping
purchase of software license - 423,Other
paid 759 rupees for contribution to fundraiser,Gifts & Donations
purchase of electricity bill - 9273,Utilities
udemy course cost 1879,Education
home repair cost 937,Other
paid 989 rs for donation to charity,Gifts & Donations
just got udemy course for 14280 inr,Education
purchase of book - 3063,Shopping
purchase of video game - 422,Entertainment
bought Netflix subscription for 202 rs,Entertainment
"paid for laptop, amount was 14672",Shopping
just got cosmetics for 919,Personal Care
paid 8302 rupees for maintenance fee,Utilities
monthly water bill payment of 7613,Utilities
monthly postage stamp payment of 703,Other
bought car service for 6687,Transport
just got salon visit for 327 inr,Personal Care
recharged my electricity bill with 14779,Utilities
spent 14734 on pen and notebooks,Education
doctor's visit fee 4676 rupees,Health
wedding present cost 54,Gifts & Donations
home repair 791 rupees,Other
takeout food 322 rs,Food
"paid for dinner with friends, amount was 150",Food
bought jeans for 3285 rupees,Shopping
pen and notebooks 12606 rs,Education
gift for anniversary 466 inr,Gifts & Donations
paid 9580 for broadband payment,Utilities
bought book for 6393,Shopping
just got coffee for 740 rs,Food
recharged my water bill with 13103,Utilities
bought salon visit for 119 rupees,Personal Care
soap cost 625,Personal Care
bought coursera specialization for 12368,Education
monthly contribution to fundraiser payment of 472,Gifts & Donations
bought pizza for 302 rs,Food
spent 416 on snacks,Food
salon visit 976 inr,Personal Care
recharged my doctor's visit fee with 1321,Health
recharged my cosmetics with 557,Personal Care
purchase of gift - 4767,Shopping
recharged my Spotify premium with 257,Entertainment
bought hospital bill for 2739 rupees,Health
just got auto rickshaw fare for 664,Transport
udemy course 7321,Education
spent 4303 on stationery,Education
monthly dinner with friends payment of 259,Food
just got home repair for 907 inr,Other
vitamins cost 4427,Health
purchase of house rent - 9243,Utilities
paid 3550 rs for hospital bill,Health
just got exam fee for 9060 rs,Education
purchase of breakfast - 736,Food
exam fee 724 inr,Education
"paid for watch, amount was 10362",Shopping
spent 7230 on bus ticket,Transport
"paid for wedding present, amount was 353",Gifts & Donations
bought internet bill for 11131 inr,Utilities
purchase of subscription service - 1642,Utilities
pet food 966 rs,Other
electricity bill 2550,Utilities
recharged my house rent with 6359,Utilities
laundry service 693 rupees,Other
salon visit cost 615,Personal Care
spent 7587 on DTH recharge,Utilities
monthly fuel for car payment of 13800,Transport
flight ticket 3648 rs,Transport
paid 8360 rs for gift,Shopping
recharged my movie tickets with 295,Entertainment
spent 416 on contribution to fundraiser,Gifts & Donations
purchase of cosmetics - 906,Personal Care
Netflix subscription cost 316,Entertainment
gas cylinder 8936 rupees,Utilities
sports match ticket cost 751,Entertainment
electricity bill 2343 inr,Utilities
purchase of electricity bill - 14743,Utilities
just got hospital bill for 4797 inr,Health
"paid for water bill, amount was 3699",Utilities
just got broadband payment for 11619,Utilities
spent 6383 on textbooks,Education
bought udemy course for 708 inr,Education
paid 8961 rupees for stationery,Education
paid 623 for groceries,Food
monthly video game payment of 604,Entertainment
spent 696 on birthday gift,Gifts & Donations
bought flight ticket for 6730 inr,Transport
bought contribution to fundraiser for 624 rupees,Gifts & Donations
train ticket cost 9110,Transport
parking fee cost 717,Transport
skincare products 8970 inr,Shopping
contribution to fundraiser cost 398,Gifts & Donations
paid 10268 rs for stationery,Education
"paid for video game, amount was 884",Entertainment
"paid for donation to charity, amount was 721",Gifts & Donations
bought train ticket for 11356 rupees,Transport
paid 975 for postage stamp,Other
recharged my gym membership with 639,Personal Care
"paid for train ticket, amount was 4037",Transport
"paid for doctor's visit fee, amount was 3254",Health
spent 9842 on stationery,Education
maintenance fee cost 12963,Utilities
bought bus ticket for 11581 rupees,Transport
monthly laundry service payment of 189,Other
just got bowling with friends for 56 rs,Entertainment
recharged my stationery with 2046,Education
recharged my stationery with 6400,Education
"paid for parking fee, amount was 13766",Transport
just got broadband payment for 13075 inr,Utilities
recharged my mobile phone with 2197,Shopping
paid 580 inr for dinner with friends,Food
bought taxi fare for 2758 rupees,Transport
recharged my home repair with 248,Other
paid 6371 rupees for stationery,Education
spent 10504 on home decor,Shopping
monthly magazine subscription payment of 183,Other
"paid for ice cream, amount was 780",Food
"paid for protein powder, amount was 723",Personal Care
monthly doctor's visit fee payment of 1761,Health
home repair cost 247,Other
just got auto rickshaw fare for 1111 rs,Transport
recharged my movie tickets with 658,Entertainment
"paid for ice cream, amount was 211",Food
protein powder cost 313,Personal Care
paid 2802 for book,Shopping
purchase of haircut - 392,Personal Care
recharged my headphones with 8692,Shopping
just got gym membership for 883 rs,Personal Care
just got headphones for 2295,Shopping
purchase of postage stamp - 178,Other
purchase of textbooks - 3301,Education
just got home repair for 418 inr,Other
birthday gift cost 505,Gifts & Donations
Spotify premium cost 269,Entertainment
monthly dental checkup payment of 385,Health
monthly Spotify premium payment of 626,Entertainment
purchase of birthday gift - 862,Gifts & Donations
monthly courier charges payment of 271,Other
bought birthday gift for 214 inr,Gifts & Donations
software license 251,Other
recharged my ice cream with 79,Food
purchase of contribution to fundraiser - 828,Gifts & Donations
purchase of lab test - 3684,Health
recharged my pen and notebooks with 8595,Education
spent 634 on takeout food,Food
spent 593 on concert tickets,Entertainment
monthly stationery payment of 8438,Education
bought water bill for 394,Utilities
sports match ticket 809 inr,Entertainment
"paid for exam fee, amount was 11706",Education
taxi fare 8853,Transport
"paid for pet food, amount was 886",Other
sports match ticket cost 271,Entertainment
just got bus ticket for 7530 inr,Transport
paid 402 rupees for lunch,Food
running shoes cost 6651,Shopping
spent 1952 on parking fee,Transport
recharged my dental checkup with 2051,Health
paid 3888 rupees for uber ride,Transport
recharged my haircut with 917,Personal Care
purchase of stationery - 4403,Education
postage stamp cost 851,Other
just got haircut for 525 inr,Personal Care
bought movie tickets for 566 rs,Entertainment
protein powder 989,Personal Care
just got skincare products for 2918 rs,Shopping
doctor's visit fee 3246 rupees,Health
exam fee cost 11493,Education
"paid for cosmetics, amount was 383",Personal Care
monthly concert tickets payment of 456,Entertainment
